r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000116	0.003766	0.000000
0.113024	0.086484	0.000031	0.001363	0.002753
0.113024	0.172969	-0.000165	-0.010042	0.000873
0.113024	0.259453	-0.000032	-0.066301	-0.003599
0.113024	0.345937	0.000198	-0.086835	-0.003850
0.113024	0.432421	0.000451	-0.078815	-0.004484
0.113024	0.518906	0.000769	-0.040173	-0.005992
0.113024	0.605390	0.001099	0.006541	-0.004273
0.113024	0.691874	0.001325	0.024722	-0.003283
0.113024	0.778358	0.001511	0.034000	-0.002777
0.113024	0.864843	0.001665	0.039998	-0.002188
0.113024	0.951327	0.001775	0.044020	-0.001384
0.156890	0.993586	0.003509	0.045981	-0.001703
0.242671	0.993586	0.008560	0.047869	-0.003056
0.328453	0.993586	0.016155	0.050896	-0.004403
0.414235	0.993586	0.026792	0.055549	-0.006212
0.500016	0.993586	0.041330	0.062782	-0.009530
0.585798	0.993586	0.061313	0.074453	-0.017158
0.593596	0.914964	0.056652	0.059732	-0.026378
0.593596	0.828480	0.048072	0.044799	-0.025834
0.593596	0.741996	0.040313	0.035155	-0.022090
0.593596	0.655511	0.033841	0.029402	-0.018101
0.593596	0.569027	0.028577	0.026094	-0.014644
0.593596	0.482543	0.024328	0.024056	-0.011790
0.593596	0.396059	0.020919	0.022247	-0.009422
0.593596	0.309574	0.018213	0.020186	-0.007434
0.650134	0.280091	0.020811	0.014403	-0.006879
0.689126	0.232918	0.021889	0.013297	-0.005285
0.689126	0.146434	0.020322	0.012769	-0.003096
0.689126	0.059949	0.019527	0.012407	-0.001199
