r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000698	0.017349	0.000000
0.113024	0.058967	0.000700	0.017407	-0.000100
0.113024	0.117933	0.000706	0.017573	-0.000177
0.113024	0.176900	0.000714	0.017814	-0.000202
0.113024	0.235866	0.000722	0.018063	-0.000128
0.113024	0.294833	0.000723	0.018202	0.000125
0.113024	0.353799	0.000707	0.018009	0.000693
0.113024	0.412766	0.000657	0.017059	0.001798
0.113024	0.471732	0.000545	0.014424	0.003710
0.113024	0.530699	0.000340	0.007352	0.005905
0.113024	0.589665	0.000191	-0.039283	0.000578
0.113024	0.648632	0.000311	-0.110129	-0.004677
0.113024	0.707598	0.000543	-0.127948	-0.006358
0.113024	0.766565	0.000852	-0.102072	-0.008648
0.113024	0.825531	0.001268	-0.027360	-0.009663
0.113024	0.884498	0.001549	0.019015	-0.004568
0.113024	0.943465	0.001697	0.035848	-0.002699
0.121797	0.993586	0.002061	0.044225	-0.002889
0.180285	0.993586	0.004552	0.045539	-0.007999
0.238772	0.993586	0.008129	0.047357	-0.009758
0.297260	0.993586	0.012903	0.049579	-0.009548
0.355747	0.993586	0.019015	0.052321	-0.008887
0.414235	0.993586	0.026661	0.055827	-0.008721
0.472722	0.993586	0.036126	0.060455	-0.009606
0.531210	0.993586	0.047838	0.066743	-0.012172
0.589697	0.993586	0.062451	0.075497	-0.017776
0.593596	0.938551	0.058987	0.065435	-0.025133
0.593596	0.879584	0.053190	0.054196	-0.026838
0.593596	0.820618	0.047412	0.045156	-0.025373
0.593596	0.761651	0.042122	0.038274	-0.022618
0.593596	0.702685	0.037490	0.033004	-0.019471
0.593596	0.643718	0.033562	0.028989	-0.016250
0.593596	0.584751	0.030333	0.026769	-0.013261
0.593596	0.525785	0.027356	0.023033	-0.012890
0.593596	0.466818	0.024804	0.020090	-0.010391
0.593596	0.407852	0.022752	0.018083	-0.008343
0.593596	0.348885	0.021107	0.016574	-0.006662
0.593596	0.289919	0.019803	0.015419	-0.005239
0.642336	0.280091	0.022396	0.014145	-0.005344
0.689126	0.268298	0.024779	0.012892	-0.005258
0.689126	0.209331	0.023608	0.012347	-0.003937
0.689126	0.150365	0.022757	0.011949	-0.002743
0.689126	0.091398	0.022200	0.011688	-0.001634
0.689126	0.032432	0.021919	0.011556	-0.000574
