r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	0.000580	0.014628	0.000000
0.113024	0.058967	0.000573	0.014479	0.000355
0.113024	0.117933	0.000549	0.013971	0.000839
0.113024	0.176900	0.000499	0.012900	0.001612
0.113024	0.235866	0.000407	0.010816	0.002863
0.113024	0.294833	0.000251	0.006691	0.004634
0.113024	0.353799	0.000034	-0.002784	0.004800
0.113024	0.412766	0.000010	-0.055552	-0.002728
0.113024	0.471732	0.000174	-0.095604	-0.004595
0.113024	0.530699	0.000379	-0.106456	-0.005256
0.113024	0.589665	0.000618	-0.093170	-0.006285
0.113024	0.648632	0.000917	-0.052014	-0.008060
0.113024	0.707598	0.001226	-0.001417	-0.005868
0.113024	0.766565	0.001425	0.021123	-0.003920
0.113024	0.825531	0.001568	0.031933	-0.003000
0.113024	0.884498	0.001679	0.038352	-0.002313
0.113024	0.943465	0.001762	0.042648	-0.001646
0.121797	0.993586	0.002104	0.045414	-0.001372
0.180285	0.993586	0.004651	0.046390	-0.003117
0.238772	0.993586	0.008278	0.047818	-0.004369
0.297260	0.993586	0.013082	0.049762	-0.005277
0.355747	0.993586	0.019205	0.052341	-0.006073
0.414235	0.993586	0.026847	0.055757	-0.007080
0.472722	0.993586	0.036296	0.060338	-0.008740
0.531210	0.993586	0.047985	0.066607	-0.011774
0.589697	0.993586	0.062569	0.075359	-0.017671
0.593596	0.938551	0.059119	0.065086	-0.025060
0.593596	0.879584	0.053335	0.053710	-0.026809
0.593596	0.820618	0.047554	0.044720	-0.025436
0.593596	0.761651	0.042233	0.038146	-0.022845
0.593596	0.702685	0.037525	0.033409	-0.019968
0.593596	0.643718	0.033443	0.029894	-0.017178
0.593596	0.584751	0.029956	0.027098	-0.014572
0.593596	0.525785	0.027022	0.024686	-0.012120
0.593596	0.466818	0.024621	0.022581	-0.009715
0.593596	0.407852	0.022754	0.021314	-0.007278
0.593596	0.348885	0.021135	0.019939	-0.008165
0.593596	0.289919	0.019561	0.017051	-0.006134
0.642336	0.280091	0.022350	0.014992	-0.006517
0.689126	0.268298	0.024779	0.013136	-0.006166
0.689126	0.209331	0.023435	0.012703	-0.004430
0.689126	0.150365	0.022490	0.012301	-0.003008
0.689126	0.091398	0.021884	0.012014	-0.001764
0.689126	0.032432	0.021581	0.011865	-0.000615
