0.015917,1.1779
0.04775,-0.73275
0.079583,-0.029872
0.16217,0.049834
0.2955,0.25656
0.42883,0.16793
0.54775,0.28399
0.65225,0.1853
0.75675,0.62822
0.84986,-0.46179
0.93159,-0.040184
1.0133,-0.20924
1.095,0.011312
1.1768,-0.1418
1.2585,-0.1945
1.3824,-0.008094
1.5486,0.049489
1.7148,0.10052
1.8812,0.13752
2.0478,0.14773
2.2145,0.13441
2.3812,0.12763
2.5478,0.13732
2.7145,0.13966
2.8809,0.12391
3.0471,0.076022
3.2133,-0.024191
3.3372,-0.3492
3.4189,-0.34632
3.5007,0.041767
3.5824,-0.011315
3.6641,0.0092025
3.7458,-0.13541
3.839,0.32886
3.9434,0.24345
4.048,0.27049
4.1669,0.18212
4.3002,0.25712
4.4335,0.053903
4.5161,0.055367
4.548,-0.65129
4.5798,0.98097
