r[m]	z[m]	psi[Wb]	Bz[T]	Br[T]
0.113024	0.000000	-0.000041	-0.000078	0.000000
0.113024	0.058967	-0.000087	-0.001606	0.002107
0.113024	0.117933	-0.000196	-0.007358	0.002318
0.113024	0.176900	-0.000168	-0.039644	-0.002734
0.113024	0.235866	-0.000025	-0.068607	-0.003672
0.113024	0.294833	0.000129	-0.081886	-0.003683
0.113024	0.353799	0.000286	-0.083199	-0.003847
0.113024	0.412766	0.000456	-0.073604	-0.004313
0.113024	0.471732	0.000654	-0.051261	-0.005222
0.113024	0.530699	0.000888	-0.016142	-0.005442
0.113024	0.589665	0.001084	0.008244	-0.004015
0.113024	0.648632	0.001237	0.020726	-0.003388
0.113024	0.707598	0.001371	0.028401	-0.003059
0.113024	0.766565	0.001494	0.033855	-0.002777
0.113024	0.825531	0.001603	0.038048	-0.002439
0.113024	0.884498	0.001696	0.041341	-0.001999
0.113024	0.943465	0.001769	0.043853	-0.001447
0.121797	0.993586	0.002105	0.045502	-0.001054
0.180285	0.993586	0.004656	0.046424	-0.001982
0.238772	0.993586	0.008282	0.047779	-0.002849
0.297260	0.993586	0.013079	0.049651	-0.003731
0.355747	0.993586	0.019185	0.052172	-0.004745
0.414235	0.993586	0.026799	0.055548	-0.006089
0.472722	0.993586	0.036213	0.060107	-0.008114
0.531210	0.993586	0.047858	0.066369	-0.011493
0.589697	0.993586	0.062393	0.075124	-0.017700
0.593596	0.938551	0.058930	0.064570	-0.025118
0.593596	0.879584	0.053130	0.052882	-0.026884
0.593596	0.820618	0.047330	0.043590	-0.025541
0.593596	0.761651	0.041981	0.036769	-0.023001
0.593596	0.702685	0.037229	0.031930	-0.020216
0.593596	0.643718	0.033078	0.028583	-0.017577
0.593596	0.584751	0.029478	0.026332	-0.015216
0.593596	0.525785	0.026364	0.024840	-0.013151
0.593596	0.466818	0.023673	0.023787	-0.011354
0.593596	0.407852	0.021353	0.022859	-0.009784
0.593596	0.348885	0.019356	0.021841	-0.008403
0.593596	0.289919	0.017619	0.021777	-0.008263
0.642336	0.280091	0.020285	0.014532	-0.007583
0.689126	0.268298	0.022678	0.013422	-0.006388
0.689126	0.209331	0.021230	0.013464	-0.004949
0.689126	0.150365	0.020152	0.013075	-0.003486
0.689126	0.091398	0.019457	0.012756	-0.002000
0.689126	0.032432	0.019116	0.012605	-0.000691
